PeakID (cmd=annotatePeaks.pl results/overlaps/bcor_kdm2b_overlap_without_h3k27me3.bed hg18)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
BCOR_KDM2B_common_region-3915	chr20	18435963	18436109	+	.	NA	promoter-TSS (NM_001172746)	NA	-90	NM_032986	10483		NM_006363	ENSG00000101310	SEC23B	CDA-II|CDAII|CDAN2|CWS7|HEMPAS|hSec23B	SEC23 homolog B, COPII coat complex component	protein-coding
BCOR_KDM2B_common_region-492	chr1	166171663	166171905	+	.	NA	promoter-TSS (NM_001017977)	NA	74	NR_026550	25874		NM_015415	ENSG00000143158	MPC2	BRP44|SLC54A2	mitochondrial pyruvate carrier 2	protein-coding
BCOR_KDM2B_common_region-1816	chr14	22840446	22840640	+	.	NA	exon (NM_001276318, exon 2 of 5)	NA	1365	NM_001276318	90673		NM_001276318	ENSG00000235194	PPP1R3E	-	protein phosphatase 1 regulatory subunit 3E	protein-coding
BCOR_KDM2B_common_region-885	chr10	101935685	101936115	+	.	NA	promoter-TSS (NM_001100626)	NA	-124	NM_001347856	10613		NM_006459	ENSG00000107566	ERLIN1	C10orf69|Erlin-1|KE04|KEO4|SPFH1|SPG62	ER lipid raft associated 1	protein-coding
BCOR_KDM2B_common_region-5653	chr6	151229202	151229708	+	.	NA	non-coding (NR_146720, exon 1 of 29)	NA	140	NM_001350491	25902		NM_015440	ENSG00000120254	MTHFD1L	FTHFSDC1|MTC1THFS|dJ292B18.2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	protein-coding
BCOR_KDM2B_common_region-2098	chr15	50259236	50259741	+	.	NA	promoter-TSS (NM_006578)	NA	-27	NR_102751	100129973		NR_102751		CERNA1	-	competing endogenous lncRNA 1 for miR-4707-5p and miR-4767	ncRNA
BCOR_KDM2B_common_region-2648	chr17	3814284	3814454	+	.	NA	5' UTR (NM_174956, exon 1 of 22)	NA	111	NM_174953	489		NM_005173	ENSG00000074370	ATP2A3	SERCA3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	protein-coding
BCOR_KDM2B_common_region-3182	chr19	10202637	10202887	+	.	NA	TTS (NR_036206)	NA	245	NM_004230	9294		NM_004230	ENSG00000267534	S1PR2	AGR16|DFNB68|EDG-5|EDG5|Gpcr13|H218|LPB2|S1P2	sphingosine-1-phosphate receptor 2	protein-coding
BCOR_KDM2B_common_region-5119	chr5	134210045	134210164	+	.	NA	intron (NM_001300894, intron 1 of 2)	NA	547	NM_001300894	134553		NM_152409	ENSG00000181904	C5orf24	-	chromosome 5 open reading frame 24	protein-coding
BCOR_KDM2B_common_region-3353	chr2	9531918	9532318	+	.	NA	promoter-TSS (NM_001320863)	NA	-13	NM_001320863	285148		NM_001039613	ENSG00000134330	IAH1	-	isoamyl acetate hydrolyzing esterase 1 (putative)	protein-coding
BCOR_KDM2B_common_region-1838	chr14	34168549	34169048	+	.	NA	intron (NM_001366519, intron 2 of 12)	NA	307	NM_152233	58533		NM_021249	ENSG00000129515	SNX6	MSTP010|TFAF2	sorting nexin 6	protein-coding
BCOR_KDM2B_common_region-4628	chr3	187767365	187768100	+	.	NA	promoter-TSS (NM_018138)	NA	90	NM_018138	55171		NM_018138	ENSG00000113838	TBCCD1	-	TBCC domain containing 1	protein-coding
BCOR_KDM2B_common_region-6408	chr9	99724741	99724867	+	.	NA	promoter-TSS (NM_001330725)	NA	-201	NM_001330725	51531		NM_016481	ENSG00000136932	TRMO	C9orf156|HSPC219|NAP1	tRNA methyltransferase O	protein-coding
BCOR_KDM2B_common_region-4608	chr3	183995179	183995239	+	.	NA	intron (NM_014616, intron 1 of 29)	NA	1223	NM_014616	23200		NM_014616	ENSG00000058063	ATP11B	ATPIF|ATPIR	ATPase phospholipid transporting 11B (putative)	protein-coding
BCOR_KDM2B_common_region-4153	chr22	20252074	20252196	+	.	NA	non-coding (NR_046082, exon 1 of 4)	NA	132	NR_028436	7332		NM_003347	ENSG00000185651	UBE2L3	E2-F1|L-UBC|UBCH7|UbcM4	ubiquitin conjugating enzyme E2 L3	protein-coding
BCOR_KDM2B_common_region-232	chr1	42694834	42695275	+	.	NA	promoter-TSS (NM_001146192)	NA	253	NM_024664	79717		NM_024664	ENSG00000127125	PPCS	CMD2C	phosphopantothenoylcysteine synthetase	protein-coding
BCOR_KDM2B_common_region-4215	chr22	40652539	40652805	+	.	NA	promoter-TSS (NM_052945)	NA	84	NM_052945	115650		NM_052945	ENSG00000159958	TNFRSF13C	BAFF-R|BAFFR|BROMIX|CD268|CVID4|prolixin	TNF receptor superfamily member 13C	protein-coding
BCOR_KDM2B_common_region	chr1	829952	830161	+	.	NA	Intergenic	NA	14879	NR_122045	100130417		NM_175912	ENSG00000223764	LINC02593	-	long intergenic non-protein coding RNA 2593	ncRNA
BCOR_KDM2B_common_region-658	chr1	245161530	245162023	+	.	NA	promoter-TSS (NM_001323342)	NA	97	NR_136586	25909		NM_015446	ENSG00000153207	AHCTF1	ELYS|MST108|MSTP108|TMBS62	AT-hook containing transcription factor 1	protein-coding
BCOR_KDM2B_common_region-3503	chr2	64723723	64724171	+	.	NA	intron (NM_014755, intron 1 of 1)	NA	10604	NM_014755	9792		NM_014755	ENSG00000179833	SERTAD2	Sei-2|TRIP-Br2|TRIPBR2	SERTA domain containing 2	protein-coding
BCOR_KDM2B_common_region-4287	chr3	15875456	15875946	+	.	NA	intron (NM_001349279, intron 1 of 28)	NA	624	NM_015199	23243		NM_015199	ENSG00000206560	ANKRD28	CFAP79|FAP79|PITK|PPP1R65	ankyrin repeat domain 28	protein-coding
BCOR_KDM2B_common_region-735	chr10	29006456	29006653	+	.	NA	promoter-TSS (NM_012342)	NA	98	NM_012342	25805		NM_012342	ENSG00000095739	BAMBI	NMA	BMP and activin membrane bound inhibitor	protein-coding
BCOR_KDM2B_common_region-4640	chr3	195258844	195259003	+	.	NA	intron (NR_136181, intron 1 of 3)	NA	11089	NR_136181	285389		NR_136179	ENSG00000230102	LINC02028	-	long intergenic non-protein coding RNA 2028	ncRNA
BCOR_KDM2B_common_region-1779	chr13	99056907	99057364	+	.	NA	intron (NR_104592, intron 1 of 9)	NA	190	NR_104592	171425		NM_206808	ENSG00000125246	CLYBL	CLB	citramalyl-CoA lyase	protein-coding
BCOR_KDM2B_common_region-5398	chr6	34312073	34312625	+	.	NA	promoter-TSS (NM_001319080)	NA	-279	NM_001319078	3159		NM_002131	ENSG00000137309	HMGA1	HMG-R|HMGA1A|HMGIY	high mobility group AT-hook 1	protein-coding
BCOR_KDM2B_common_region-6144	chr8	82916592	82917002	+	.	NA	intron (NM_022133, intron 1 of 8)	NA	178	NM_152836	64089		NM_022133	ENSG00000104497	SNX16	-	sorting nexin 16	protein-coding
BCOR_KDM2B_common_region-977	chr11	787254	787533	+	.	NA	intron (NM_001191061, intron 1 of 9)	NA	602	NM_001191060	79751		NM_024698	ENSG00000177542	SLC25A22	DEE3|EIEE3|GC-1|GC1|NET44	solute carrier family 25 member 22	protein-coding
BCOR_KDM2B_common_region-2624	chr17	1305964	1306289	+	.	NA	exon (NM_005206, exon 1 of 3)	NA	150	NM_005206	1398		NM_005206	ENSG00000167193	CRK	CRKII|p38	CRK proto-oncogene, adaptor protein	protein-coding
BCOR_KDM2B_common_region-1273	chr11	128095767	128095974	+	.	NA	intron (NM_001271010, intron 1 of 9)	NA	-24742	NR_038908	100507392		NR_038908	ENSG00000254703	SENCR	FLI1-AS1|lncRNA9	smooth muscle and endothelial cell enriched migration/differentiation-associated lncRNA	ncRNA
BCOR_KDM2B_common_region-3633	chr2	112357874	112358426	+	.	NA	promoter-TSS (NM_022662)	NA	91	NM_022662	64682		NM_022662	ENSG00000153107	ANAPC1	APC1|MCPR|TSG24	anaphase promoting complex subunit 1	protein-coding
BCOR_KDM2B_common_region-2967	chr17	78001608	78001912	+	.	NA	promoter-TSS (NM_001193655)	NA	157	NR_036518	79415		NM_024510	ENSG00000178927	CYBC1	C17orf62|CGD5|Eros	cytochrome b-245 chaperone 1	protein-coding
BCOR_KDM2B_common_region-5307	chr6	5206796	5206874	+	.	NA	promoter-TSS (NM_006567)	NA	90	NM_006567	10667		NM_006567	ENSG00000145982	FARS2	COXPD14|FARS1|HSPC320|PheRS|SPG77|mtPheRS	phenylalanyl-tRNA synthetase 2, mitochondrial	protein-coding
BCOR_KDM2B_common_region-1508	chr12	103375029	103375203	+	.	NA	5' UTR (NM_001173982, exon 1 of 3)	NA	260	NM_001173982	50515		NM_018413	ENSG00000171310	CHST11	C4ST|C4ST-1|C4ST1|HSA269537|OCBMD	carbohydrate sulfotransferase 11	protein-coding
BCOR_KDM2B_common_region-2245	chr15	87678830	87679279	+	.	NA	promoter-TSS (NM_002693)	NA	5	NM_001126131	5428		NM_002693	ENSG00000140521	POLG	MDP1|MIRAS|MTDPS4A|MTDPS4B|PEO|POLG1|POLGA|SANDO|SCAE	DNA polymerase gamma, catalytic subunit	protein-coding
BCOR_KDM2B_common_region-5800	chr7	35806959	35807052	+	.	NA	promoter-TSS (NM_001242956)	NA	-116	NM_001242956	989		NM_001788	ENSG00000122545	SEPTIN7	CDC10|CDC3|NBLA02942|SEPT7|SEPT7A|Septin-7	septin 7	protein-coding
BCOR_KDM2B_common_region-3393	chr2	25954096	25954430	+	.	NA	intron (NM_018263, intron 1 of 11)	NA	597	NM_018263	55252		NM_018263	ENSG00000143970	ASXL2	ASXH2|SHAPNS	ASXL transcriptional regulator 2	protein-coding
BCOR_KDM2B_common_region-2656	chr17	4348859	4348991	+	.	NA	promoter-TSS (NM_001124758)	NA	0	NM_001124758	124976		NM_001124758	ENSG00000183018	SPNS2	DFNB115|SLC62A2|SLC63A2	SPNS lysolipid transporter 2, sphingosine-1-phosphate	protein-coding
BCOR_KDM2B_common_region-2430	chr16	30680402	30680552	+	.	NA	promoter-TSS (NM_001286572)	NA	43	NM_001207033	9810		NM_014771	ENSG00000103549	RNF40	BRE1B|RBP95|STARING	ring finger protein 40	protein-coding
BCOR_KDM2B_common_region-1998	chr14	99821670	99821780	+	.	NA	Intergenic	NA	8278	NR_106822	102466730		NR_106822	ENSG00000283840	MIR6764	hsa-mir-6764	microRNA 6764	ncRNA
BCOR_KDM2B_common_region-287	chr1	53566492	53566608	+	.	NA	promoter-TSS (NM_017522)	NA	57	NR_131923	105378732		NR_131923	ENSG00000225675	LRP8-DT	LINC01771	LRP8 divergent transcript	ncRNA
BCOR_KDM2B_common_region-508	chr1	177262342	177262566	+	.	NA	intron (NM_001324311, intron 1 of 7)	NA	572	NM_001324311	9917		NM_014864	ENSG00000116199	FAM20B	gxk1	FAM20B glycosaminoglycan xylosylkinase	protein-coding
BCOR_KDM2B_common_region-3296	chr19	52468263	52468730	+	.	NA	Intergenic	NA	-1024	NR_037675	255783		NM_178511	ENSG00000257704	INAFM1	PRR24	InaF motif containing 1	protein-coding
BCOR_KDM2B_common_region-1509	chr12	104025509	104025858	+	.	NA	promoter-TSS (NR_121211)	NA	44	NM_001293640	23325		NM_015275	ENSG00000136051	WASHC4	KIAA1033|MRT43|SWIP	WASH complex subunit 4	protein-coding
BCOR_KDM2B_common_region-1584	chr12	120927138	120927336	+	.	NA	Intergenic	NA	-16936	NM_001024808	605		NM_020993	ENSG00000110987	BCL7A	BCL7|SMARCJ1	BAF chromatin remodeling complex subunit BCL7A	protein-coding
BCOR_KDM2B_common_region-2685	chr17	7686403	7686848	+	.	NA	intron (NM_001348716, intron 1 of 22)	NA	2665	NM_001080424	23135		NM_001080424	ENSG00000132510	KDM6B	JMJD3|NEDCFSA|NEDSST	lysine demethylase 6B	protein-coding
BCOR_KDM2B_common_region-581	chr1	222611135	222611506	+	.	NA	non-coding (NR_102347, exon 1 of 4)	NA	116	NM_014184	29097		NM_014184	ENSG00000143771	CNIH4	CNIH-4|CNIH2|HSPC163	cornichon family member 4	protein-coding
BCOR_KDM2B_common_region-2882	chr17	68700254	68700393	+	.	NA	promoter-TSS (NM_018714)	NA	-466	NM_018714	9382		NM_018714	ENSG00000166685	COG1	CDG2G|LDLB	component of oligomeric golgi complex 1	protein-coding
BCOR_KDM2B_common_region-4051	chr21	33837361	33837426	+	.	NA	promoter-TSS (NM_001136006)	NA	179	NM_001291412	6651		NM_003103	ENSG00000159140	SON	BASS1|C21orf50|DBP-5|NREBP|SON3|TOKIMS	SON DNA and RNA binding protein	protein-coding
BCOR_KDM2B_common_region-2352	chr16	4244076	4244185	+	.	NA	promoter-TSS (NR_039999)	NA	-339	NR_039999	100507501		NR_039999		LINC01569	-	long intergenic non-protein coding RNA 1569	ncRNA
BCOR_KDM2B_common_region-5422	chr6	37062191	37062576	+	.	NA	promoter-TSS (NM_014341)	NA	-78	NM_014341	23787		NM_014341	ENSG00000137409	MTCH1	CGI-64|PIG60|PSAP|SLC25A49	mitochondrial carrier 1	protein-coding
BCOR_KDM2B_common_region-1783	chr13	106017518	106017649	+	.	NA	intron (NM_018011, intron 1 of 3)	NA	903	NM_018011	55082		NM_018011	ENSG00000134884	ARGLU1	-	arginine and glutamate rich 1	protein-coding
BCOR_KDM2B_common_region-3049	chr18	54489169	54489528	+	.	NA	promoter-TSS (NM_173844)	NA	-329	NM_173844	10892		NM_006785	ENSG00000172175	MALT1	IMD12|MLT|MLT1|PCASP1	MALT1 paracaspase	protein-coding
BCOR_KDM2B_common_region-5569	chr6	109523351	109523479	+	.	NA	promoter-TSS (NM_014454)	NA	12	NM_001271853	285753		NM_173830	ENSG00000183137	CEP57L1	C6orf182|bA487F23.2|cep57R	centrosomal protein 57 like 1	protein-coding
BCOR_KDM2B_common_region-3881	chr2	241904103	241904366	+	.	NA	promoter-TSS (NM_001321033)	NA	-19	NM_001321033	4735		NM_004404	ENSG00000168385	SEPTIN2	DIFF6|NEDD-5|NEDD5|Pnutl3|SEPT2|Septin-2|hNedd5	septin 2	protein-coding
BCOR_KDM2B_common_region-408	chr1	148388842	148389017	+	.	NA	promoter-TSS (NM_001304723)	NA	199	NM_016274	51177		NM_016274	ENSG00000023902	PLEKHO1	CKIP-1|CKIP1|JBP|OC120	pleckstrin homology domain containing O1	protein-coding
BCOR_KDM2B_common_region-5514	chr6	79633885	79634449	+	.	NA	exon (NM_001010844, exon 1 of 4)	NA	180	NM_001010844	134728		NM_001010844	ENSG00000146243	IRAK1BP1	AIP70|SIMPL	interleukin 1 receptor associated kinase 1 binding protein 1	protein-coding
BCOR_KDM2B_common_region-388	chr1	112099563	112099834	+	.	NA	promoter-TSS (NR_125963)	NA	-44	NR_125963	101928718		NR_125963	ENSG00000284830	LOC101928718	-	uncharacterized LOC101928718	ncRNA
BCOR_KDM2B_common_region-2019	chr14	104557670	104558620	+	.	NA	intron (NM_145701, intron 1 of 2)	NA	320	NM_017955	55038		NM_017955	ENSG00000170779	CDCA4	HEPP|SEI-3/HEPP	cell division cycle associated 4	protein-coding
BCOR_KDM2B_common_region-4881	chr4	148758049	148758343	+	.	NA	5' UTR (NM_018241, exon 1 of 10)	NA	198	NM_018241	55751		NM_018241	ENSG00000164168	TMEM184C	SLC51C3|TMEM34	transmembrane protein 184C	protein-coding
BCOR_KDM2B_common_region-3513	chr2	64998558	64998608	+	.	NA	intron (NR_036586, intron 1 of 2)	NA	14502	NR_036586	400958		NR_036586		LINC02245	-	long intergenic non-protein coding RNA 2245	ncRNA
BCOR_KDM2B_common_region-6172	chr8	102034279	102034700	+	.	NA	promoter-TSS (NM_001135699)	NA	-92	NM_001135699	7534		NM_003406	ENSG00000164924	YWHAZ	14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|POPCHAS|YWHAD	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	protein-coding
BCOR_KDM2B_common_region-4691	chr4	15389084	15389889	+	.	NA	intron (NM_001775, intron 1 of 7)	NA	437	NM_001775	952		NM_001775	ENSG00000004468	CD38	ADPRC 1|ADPRC1|cADPR1	CD38 molecule	protein-coding
BCOR_KDM2B_common_region-1249	chr11	86426217	86426822	+	.	NA	promoter-TSS (NM_022918)	NA	-105	NM_022918	65084		NM_022918	ENSG00000166575	TMEM135	PMP52	transmembrane protein 135	protein-coding
BCOR_KDM2B_common_region-1286	chr12	928781	929698	+	.	NA	promoter-TSS (NR_123713)	NA	-90	NM_001297421	5893		NM_134422	ENSG00000002016	RAD52	-	RAD52 homolog, DNA repair protein	protein-coding
BCOR_KDM2B_common_region-1775	chr13	97939797	97940039	+	.	NA	intron (NM_001032296, intron 2 of 10)	NA	32462	NM_003576	8428		NM_003576	ENSG00000102572	STK24	HEL-S-95|MST3|MST3B|STE20|STK3	serine/threonine kinase 24	protein-coding
BCOR_KDM2B_common_region-2404	chr16	23597523	23597785	+	.	NA	promoter-TSS (NM_005030)	NA	-57	NM_005030	5347		NM_005030	ENSG00000166851	PLK1	PLK|STPK13	polo like kinase 1	protein-coding
BCOR_KDM2B_common_region-2575	chr16	87244448	87244927	+	.	NA	intron (NM_000101, intron 1 of 5)	NA	275	NM_000101	1535		NM_000101	ENSG00000051523	CYBA	CGD4|p22-PHOX	cytochrome b-245 alpha chain	protein-coding
BCOR_KDM2B_common_region-1477	chr12	81605469	81605797	+	.	NA	intron (NM_001320321, intron 1 of 10)	NA	568	NM_001320322	160335		NM_152588	ENSG00000179104	TMTC2	IBDBP1	transmembrane O-mannosyltransferase targeting cadherins 2	protein-coding
BCOR_KDM2B_common_region-2401	chr16	22216224	22216378	+	.	NA	promoter-TSS (NM_001258034)	NA	70	NM_001258036	55718		NM_018119	ENSG00000058600	POLR3E	C37|RPC5|SIN	RNA polymerase III subunit E	protein-coding
BCOR_KDM2B_common_region-5115	chr5	134012013	134012739	+	.	NA	promoter-TSS (NM_021982)	NA	2	NM_021982	10802		NM_021982	ENSG00000113615	SEC24A	-	SEC24 homolog A, COPII coat complex component	protein-coding
BCOR_KDM2B_common_region-725	chr10	23767612	23767742	+	.	NA	promoter-TSS (NM_001145373)	NA	-333	NM_001145373	220213		NM_001145373	ENSG00000165312	OTUD1	DUBA7|OTDC1	OTU deubiquitinase 1	protein-coding
BCOR_KDM2B_common_region-628	chr1	232575649	232575759	+	.	NA	promoter-TSS (NM_001012985)	NA	68	NR_125962	101927765		NR_125961	ENSG00000231663	COA6-AS1	-	COA6 antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-2676	chr17	7228028	7228406	+	.	NA	exon (NM_003985, exon 6 of 13)	NA	3085	NM_003985	8711		NM_003985	ENSG00000174292	TNK1	KOS1	tyrosine kinase non receptor 1	protein-coding
BCOR_KDM2B_common_region-652	chr1	243201085	243201335	+	.	NA	promoter-TSS (NR_111907)	NA	-416	NR_111907	101928068		NR_111907		LOC101928068	-	uncharacterized LOC101928068	ncRNA
BCOR_KDM2B_common_region-557	chr1	203866872	203866952	+	.	NA	intron (NM_001973, intron 1 of 4)	NA	850	NM_001973	2005		NM_001973	ENSG00000158711	ELK4	SAP1	ETS transcription factor ELK4	protein-coding
BCOR_KDM2B_common_region-4333	chr3	42031160	42031260	+	.	NA	Intergenic	NA	-52611	NM_001322500	54986		NM_017886	ENSG00000168038	ULK4	FAM7C1|REC01035	unc-51 like kinase 4	protein-coding
BCOR_KDM2B_common_region-693	chr10	6429725	6429932	+	.	NA	Intergenic	NA	-2456	NR_148966	399716		NR_148966		LINC02656	-	long intergenic non-protein coding RNA 2656	ncRNA
BCOR_KDM2B_common_region-2493	chr16	67778227	67778402	+	.	NA	promoter-TSS (NM_006750)	NA	-237	NM_006750	6645		NM_006750	ENSG00000168807	SNTB2	D16S2531E|EST25263|SNT2B2|SNT3|SNTL	syntrophin beta 2	protein-coding
BCOR_KDM2B_common_region-4320	chr3	33113089	33113259	+	.	NA	intron (NM_001039770, intron 1 of 1)	NA	154	NM_001079811	2720		NM_000404	ENSG00000170266	GLB1	EBP|ELNR1|MPS4B	galactosidase beta 1	protein-coding
BCOR_KDM2B_common_region-938	chr10	111959922	111960023	+	.	NA	promoter-TSS (NM_001008541)	NA	-7	NM_001008541	4601		NM_005962	ENSG00000119950	MXI1	MAD2|MXD2|MXI|bHLHc11	MAX interactor 1, dimerization protein	protein-coding
BCOR_KDM2B_common_region-951	chr10	126097305	126097517	+	.	NA	promoter-TSS (NM_001322965)	NA	71	NM_000274	4942		NM_000274	ENSG00000065154	OAT	GACR|HOGA|OATASE|OKT	ornithine aminotransferase	protein-coding
BCOR_KDM2B_common_region-1446	chr12	63084670	63084810	+	.	NA	5' UTR (NM_007235, exon 1 of 25)	NA	301	NM_007235	11260		NM_007235	ENSG00000184575	XPOT	XPO3	exportin for tRNA	protein-coding
BCOR_KDM2B_common_region-986	chr11	900699	900807	+	.	NA	promoter-TSS (NM_001142674)	NA	57	NM_001142676	66005		NM_023947	ENSG00000177830	CHID1	GL008|SI-CLP|SICLP	chitinase domain containing 1	protein-coding
BCOR_KDM2B_common_region-5330	chr6	13820181	13820624	+	.	NA	promoter-TSS (NM_005493)	NA	-356	NM_005493	10048		NM_005493	ENSG00000010017	RANBP9	BPM-L|BPM90|RANBPM|RanBP7	RAN binding protein 9	protein-coding
BCOR_KDM2B_common_region-4369	chr3	48647778	48648286	+	.	NA	promoter-TSS (NM_022911)	NA	-134	NM_134263	65010		NM_022911	ENSG00000225697	SLC26A6	-	solute carrier family 26 member 6	protein-coding
BCOR_KDM2B_common_region-3271	chr19	46550340	46550541	+	.	NA	exon (NM_000660, exon 1 of 7)	NA	1227	NM_000660	7040		NM_000660	ENSG00000105329	TGFB1	CED|DPD1|IBDIMDE|LAP|TGF-beta1|TGFB|TGFbeta	transforming growth factor beta 1	protein-coding
BCOR_KDM2B_common_region-671	chr10	656301	656479	+	.	NA	intron (NM_014974, intron 1 of 36)	NA	-8114	NR_147612	101930421		NR_147612	ENSG00000225140	LOC101930421	-	uncharacterized LOC101930421	ncRNA
BCOR_KDM2B_common_region-5057	chr5	96169297	96169593	+	.	NA	promoter-TSS (NM_001040458)	NA	-41	NM_001040458	51752		NM_016442	ENSG00000164307	ERAP1	A-LAP|ALAP|APPILS|ARTS-1|ARTS1|ERAAP|ERAAP1|PILS-AP|PILSAP	endoplasmic reticulum aminopeptidase 1	protein-coding
BCOR_KDM2B_common_region-5475	chr6	44322690	44322967	+	.	NA	promoter-TSS (NM_001371238)	NA	12	NM_007355	3326		NM_007355	ENSG00000096384	HSP90AB1	D6S182|HSP84|HSP90B|HSPC2|HSPCB	heat shock protein 90 alpha family class B member 1	protein-coding
BCOR_KDM2B_common_region-4519	chr3	129851592	129851918	+	.	NA	intron (NM_002950, intron 1 of 9)	NA	596	NM_002950	6184		NM_002950	ENSG00000163902	RPN1	OST1|RBPH1	ribophorin I	protein-coding
BCOR_KDM2B_common_region-4591	chr3	171557511	171557631	+	.	NA	promoter-TSS (NM_005414)	NA	-626	NM_001145098	6498		NM_005414	ENSG00000136603	SKIL	SNO|SnoA|SnoI|SnoN	SKI like proto-oncogene	protein-coding
BCOR_KDM2B_common_region-1150	chr11	64448149	64448227	+	.	NA	promoter-TSS (NM_006244)	NA	-549	NM_006244	5526		NM_006244	ENSG00000068971	PPP2R5B	B56B|B56beta|PR61B	protein phosphatase 2 regulatory subunit B'beta	protein-coding
BCOR_KDM2B_common_region-149	chr1	27521048	27521411	+	.	NA	promoter-TSS (NR_037576)	NA	6	NM_032125	84065		NM_032125	ENSG00000186501	TMEM222	C1orf160|NEDMOSBA	transmembrane protein 222	protein-coding
BCOR_KDM2B_common_region-6322	chr9	35092981	35093221	+	.	NA	promoter-TSS (NM_001287031)	NA	27	NM_013442	30968		NM_013442	ENSG00000165283	STOML2	HSPC108|SLP-2	stomatin like 2	protein-coding
BCOR_KDM2B_common_region-6093	chr8	56919306	56919945	+	.	NA	Intergenic	NA	-35323	NM_001111097	4067		NM_002350	ENSG00000254087	LYN	JTK8|SAIDV|p53Lyn|p56Lyn	LYN proto-oncogene, Src family tyrosine kinase	protein-coding
BCOR_KDM2B_common_region-97	chr1	16551596	16551850	+	.	NA	promoter-TSS (NM_018994)	NA	-161	NM_018994	54455		NM_018994	ENSG00000037637	FBXO42	Fbx42|JFK	F-box protein 42	protein-coding
BCOR_KDM2B_common_region-379	chr1	110328640	110328959	+	.	NA	promoter-TSS (NM_006621)	NA	-111	NM_001242673	10768		NM_006621	ENSG00000168710	AHCYL1	DCAL|IRBIT|PPP1R78|PRO0233|XPVKONA	adenosylhomocysteinase like 1	protein-coding
BCOR_KDM2B_common_region-5819	chr7	44612329	44612898	+	.	NA	promoter-TSS (NM_001003941)	NA	-138	NM_001003941	4967		NM_002541	ENSG00000105953	OGDH	AKGDH|E1k|E1o|KGD1|OGDC|OGDH-E1|OGDH2|OGDHD	oxoglutarate dehydrogenase	protein-coding
BCOR_KDM2B_common_region-5745	chr7	5539157	5539358	+	.	NA	Intergenic	NA	-2499	NM_001101	60		NM_001101	ENSG00000075624	ACTB	BKRNS|BNS|BRWS1|CSMH|DDS1|PS1TP5BP1|THC8	actin beta	protein-coding
BCOR_KDM2B_common_region-4255	chr3	5204288	5204592	+	.	NA	promoter-TSS (NM_014674)	NA	48	NM_014674	9695		NM_014674	ENSG00000134109	EDEM1	EDEM	ER degradation enhancing alpha-mannosidase like protein 1	protein-coding
BCOR_KDM2B_common_region-4313	chr3	31549725	31550334	+	.	NA	intron (NM_178862, intron 1 of 15)	NA	608	NM_178862	201595		NM_178862	ENSG00000163527	STT3B	CDG1X|SIMP|STT3-B	STT3 oligosaccharyltransferase complex catalytic subunit B	protein-coding
BCOR_KDM2B_common_region-577	chr1	220829731	220829842	+	.	NA	promoter-TSS (NR_110614)	NA	-99	NR_110613	100506161		NR_110613	ENSG00000225265	TAF1A-AS1	-	TAF1A antisense RNA 1	ncRNA
BCOR_KDM2B_common_region-1432	chr12	55769211	55769333	+	.	NA	5' UTR (NM_001330305, exon 1 of 6)	NA	108	NM_001330305	4665		NM_005967	ENSG00000166886	NAB2	MADER	NGFI-A binding protein 2	protein-coding
BCOR_KDM2B_common_region-5757	chr7	6583556	6583805	+	.	NA	promoter-TSS (NM_001134387)	NA	70	NR_163912	55146		NM_018106	ENSG00000136247	ZDHHC4	ZNF374	zinc finger DHHC-type palmitoyltransferase 4	protein-coding
BCOR_KDM2B_common_region-2207	chr15	73658516	73658898	+	.	NA	promoter-TSS (NM_002833)	NA	4	NM_002833	5780		NM_002833	ENSG00000169410	PTPN9	MEG2|PTPMEG2	protein tyrosine phosphatase non-receptor type 9	protein-coding
BCOR_KDM2B_common_region-3134	chr19	1192812	1192822	+	.	NA	promoter-TSS (NM_001001975)	NA	67	NM_001001975	513		NM_001687	ENSG00000099624	ATP5F1D	ATP5D|MC5DN5	ATP synthase F1 subunit delta	protein-coding
BCOR_KDM2B_common_region-2424	chr16	30313952	30314255	+	.	NA	promoter-TSS (NM_001324494)	NA	-139	NM_001214909	197407		NM_152652	ENSG00000180035	ZNF48	ZNF553	zinc finger protein 48	protein-coding
BCOR_KDM2B_common_region-4980	chr5	14719031	14719392	+	.	NA	intron (NM_138348, intron 1 of 6)	NA	1384	NM_138348	90268		NM_138348	ENSG00000154124	OTULIN	AIPDS|FAM105B|GUM|IMD107	OTU deubiquitinase with linear linkage specificity	protein-coding
BCOR_KDM2B_common_region-3408	chr2	27740327	27740435	+	.	NA	promoter-TSS (NM_014860)	NA	-170	NM_001282731	9913		NM_014860	ENSG00000119760	SUPT7L	SPT7L|STAF65|STAF65(gamma)|STAF65G|SUPT7H	SPT7 like, STAGA complex subunit gamma	protein-coding
